action_pack_gate_reason,city,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,stage,status,target_name
,Lecco,0.52,nurture,nurture_signal_ready,studiodentisticolecco.it,51,nurture_signal,ord_4c4e711b,medium,nurture_signal,LC,not_applicable,68,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-051,,https://studiodentisticolecco.it/,purchase,,Studio Dentistico Lecco
,Lecco,0.83,watchlist,,studioodontoiatricolecco.it,52,,,medium,,LC,not_applicable,50,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-052,,https://studioodontoiatricolecco.it/,score,,Studio Odontoiatrico Lecco
,Lecco,0.52,watchlist,,centrodentisticolecco.it,53,,,medium,,LC,not_applicable,61,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-053,,https://centrodentisticolecco.it/,score,,Centro Dentistico Lecco
,Merate,0.88,nurture,,studiodentisticomerate.it,54,nurture_signal,,medium,,LC,not_applicable,72,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-054,,https://studiodentisticomerate.it/,score,,Studio Dentistico Merate
,Merate,0.88,nurture,nurture_signal_ready,studiodentisticomerate.it,54,nurture_signal,ord_57f8f75a,medium,nurture_signal,LC,not_applicable,72,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-054,,https://studiodentisticomerate.it/,purchase,,Studio Dentistico Merate
,Mantova,0.52,nurture,,studiodentisticomantova.it,55,nurture_signal,,medium,,MN,not_applicable,66,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-055,,https://studiodentisticomantova.it/,score,,Studio Dentistico Mantova
,Mantova,0.52,nurture,nurture_signal_ready,studiodentisticomantova.it,55,nurture_signal,ord_b90acdad,medium,nurture_signal,MN,not_applicable,66,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-055,,https://studiodentisticomantova.it/,purchase,,Studio Dentistico Mantova
,Mantova,0.65,buy_deep_analysis,,studioodontoiatricomantova.it,56,deep_analysis,,high,,MN,not_applicable,80,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-056,,https://studioodontoiatricomantova.it/,score,,Studio Odontoiatrico Mantova
,Mantova,0.65,buy_deep_analysis,deep_analysis_ready,studioodontoiatricomantova.it,56,deep_analysis,ord_a63bbf1c,high,deep_analysis,MN,not_applicable,80,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-056,,https://studioodontoiatricomantova.it/,purchase,,Studio Odontoiatrico Mantova
confidence below natural action threshold 0.70,Mantova,0.65,buy_deep_analysis,,studioodontoiatricomantova.it,56,deep_analysis,,high,action_pack,MN,not_applicable,80,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-056,ord_a63bbf1c,https://studioodontoiatricomantova.it/,action_pack_not_bought,,Studio Odontoiatrico Mantova
,Mantova,0.87,nurture,,centrodentisticomantova.it,57,nurture_signal,,medium,,MN,not_applicable,71,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-057,,https://centrodentisticomantova.it/,score,,Centro Dentistico Mantova
,Mantova,0.87,nurture,nurture_signal_ready,centrodentisticomantova.it,57,nurture_signal,ord_6db8eb90,medium,nurture_signal,MN,not_applicable,71,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-057,,https://centrodentisticomantova.it/,purchase,,Centro Dentistico Mantova
,Castiglione delle Stiviere,0.79,watchlist,,studiodentisticocastiglione.it,58,,,medium,,MN,not_applicable,58,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-058,,https://studiodentisticocastiglione.it/,score,,Studio Dentistico Castiglione
